"10.04.2023","16 ЛЕТ НА РЫНКЕ КАЗАХСТАНА!","","","","","","",""
"","","","","","","","",""
"Код","Артикул","Полное наименование","Доступность
(штук)","Цена
(тенге)","Срок
гарантии","В коробке
(штук)","Фото","Ссылка"
"30228      ","24G2SAE/BK","Игровой Монитор 23,8"" AOC 24G2SAE/BK VA 1920x1080 165Hz 1ms 350cd/m 178/178 3000:1 16.7млн:1 1xD-Sub 2xHDMI DP 2x2W Black/Red",">50","82,788","Сц 3 года","1","24G2SAE","Ссылка"
"31725      ","24G2SP/BK","Профессиональный Монитор Игровой с Частотой 165 Герц 23,8"" AOC 24G2SP/BK IPS 1920x1080 165Hz 1ms 250cdm 1000:1 80M:1 VGA DP 2xHDMI 4xUSB Hub Встроенные колонки 2x2W, Функция поворота и регулировки высоты.",">50","91,738","Сц 3 года","1","24G2SP","Ссылка"
"31723      ","24G2SPAE/BK/01","Профессиональный Монитор Игровой с Частотой 165 Герц 23,8"" AOC 24G2SPAE/BK/01 IPS 1920x1080 165Hz 4ms 300cdm 1000:1 80M:1 2xHDMI DP Встроенные колонки 2x2W, Функция поворота и регулировки высоты.",">50","87,263","Сц 3 года","1","24G2SPAE","Ссылка"
"28545      ","24G2ZU/BK","Профессиональный Монитор Игровой с Частотой 240 Герц 23,8"" AOC 24G2ZU/BK IPS 1920x1080 240Hz 350cdm 1ms 1000:1 80M:1 1xDP 2xHDMI 4xUSB Hub Встроенные колонки 2x2W, Функция поворота и регулировки высоты.",">50","120,825","Сц 3 года","1","24G2ZU","Ссылка"
"29544      ","G2490VXA/01","Профессиональный Монитор Игровой 23.8"" AOC G2490VXA/01 VA 1920х1080 16:9 144Hz 350кд/м2 4мс 3000:1 80млн:1 1xDP 1xHDMI Угол Обзора 178\178. 2Wx2 Черный/Красный. ",">50","76,075","Сц 3 года","1","G2490VXA","Ссылка"
"29843      ","AG254FG","Монитор Профессиональный Игровой со сверхвысокой частотой 360Гц 24.5"" AOC AG254FG IPS 1920x1080@360Hz 400cd/m2 1ms 1000:1 178/178 2xHDMI DP 4xUSB 3.0. Встроенные колонки 2x5W. Черно-красный                                                                                                                              ","21","369,188","Сц 3 года","1","AG254FG","Ссылка"
"Диагональ 27''-28""","","","","","","","",""
"31833      ","27V5CE/BK","Монитор  27"" AOC 27V5CE/BK IPS 1920x1080 75Hz 4ms 300cd/m 1000:1 HDMI USB-C 2x3W Black","18","102,030","Сц 3 года","1","27V5CE","Ссылка"
"30885      ","27B2DA","Монитор 27"" AOC 27B2DA IPS 1920x1080 75Hz 4ms 250 cd/m2 1000:1 1xD-Sub 1xDVI 1xHDMI  178/178  Черный",">50","62,650","Сц 3 года","1","27B2DA","Ссылка"
"30231      ","27B2DM/01","Монитор 27"" AOC 27B2DM/01 VA 1920x1080 75Hz 4ms 250 cd/m2 Угол обзора 178/178º 4000:1 20M:1 VGA HDMI DVI Черный",">50","61,308","Сц 3 года","1","22B2DA","Ссылка"
"30232      ","27B2QAM/01","Монитор 27"" AOC 27B2QAM/01 VA 1920x1080 75Hz 4ms 250 cd/m2 Угол обзора 178/178º 4000:1 20M:1 VGA HDMI DP 2x2W Черный",">50","71,600","Сц 3 года","1","22B2DA","Ссылка"
"30881      ","27P2Q","Монитор 27"" AOC 27P2Q IPS FHD 1920x1080 75Hz 4ms 250cd/m 1000:1 50млн:1 Угол обзора 178/178 1xHDMI 1xDP 1xD-Sub 1xDVI 4xUSB3.2, Колонки2x2W. Регурировка высоты до 150мм. ","36","101,583","Сц 3 года","1","27P2Q","Ссылка"
"29688      ","AG274FZ","Монитор в Элегантной Безрамочной Оправе c USB-C 27"" AOC AG274FZ IPS 1920x1080 260Hz 1мс 400кд/м2 Угол обзора 178/178 1000:1 2xHDMI 2xDP 4xUSB3.2 1xUSB-C Встроенные колоннки 2x5W Черный.","19","232,700","Сц 3 года","1","AG274FZ","Ссылка"
"29715      ","AG274QXM","ТОПОВЫЙ ПРОФЕССИОНАЛЬНЫЙ GAMING Монитор с высоким разрешением  27"" AOC AG274QXM IPS 2560x1440 170Hz 1ms 600cd/m Угол обзора 178/178, 1000:1 80млн:1 2xHDMI2.0 DP1.2 4xUSB 3.2 USB-C 5 W x 2 + DTS. ПРОЕКЦИЯ ЛОГОТИПА. ПОВОРОТ. ИЗМЕНЕНИЕ ВЫСОТЫ, ЗАЩИТНЫЕ ШТОРКИ!  Black","15","431,838","Сц 3 года","1","AG274QXM","Ссылка"
"29697      ","Q27V4EA","Безрамочный монитор 27"" AOC Q27V4EA IPS 2560x1440 75Hz 4ms 250cd/m 1000:1 20млн:1 Угол обзора 178/178 HDMI DP1.2 2x2W Черный",">50","107,848","Сц 3 года","1","Q27V4EA","Ссылка"
"31338      ","Q27V5C/BK","Безрамочный монитор с высоким разрешением и регулировкой высоты и поворотом экрана 27"" AOC Q27V5C/BK IPS 2560x1440 75Hz 1ms 300cd/m 1000:1 20млн:1 Угол обзора 178/178 HDMI DP1.2 2x3W Черный","38","145,438","Сц 3 года","1","Q27V5C","Ссылка"
"31339      ","Q27V5CW/BK","Безрамочный монитор 27"" AOC Q27V5CW/BK IPS 2560x1440 75Hz 1ms 300cd/m 1000:1 20млн:1 1xHDMI 1xDP 1xUSB-C, Колонки 2x5W, Угол обзора 178/178, Регулировка Высоты до 130мм, Черный",">50","170,050","Сц 3 года","1","Q27V5CW","Ссылка"
"28018      ","U2790PQU/01","Монитор с Разрешением 4К с регулировкой высоты 27"" AOC U2790PQU/01 IPS 3840x2160 60Гц 5мс 178/178 350cd/m 1000:1 2xHDMI DP Speakers Black","18","152,150","Сц 3 года","1","U2790PQU","Ссылка"
"28567      ","U27P2CA","Профессиональный Монитор с Кристальным Изображением 4K 27"" AOC U27P2CA IPS 3840x2160 60hz 4мс 350кд/м2 1000:1 2xHDMI 1xDP USB-C 4xUSB, Встроенные колонки 2x2W, Черный. Функция поворота и регулировка по высоте.","10","165,575","Сц 3 года","1","U27P2CA","Ссылка"
"30479      ","AG274QS","Монитор Игровой 27"" AOC AG274QS IPS 2560x1440 300Hz 1мс 350cd/m 1000:1 Угол обзора 178/178º  2xHDMI 2xDP 4xUSB 3.2 2x5W Black","20","492,250","3 года","1","AG274QS","Ссылка"
"31823      ","AG274QZM","ТОПОВЫЙ ПРОФЕССИОНАЛЬНЫЙ ИГРОВОЙ МОНИТОР 27"" AOC AG274QZM IPS 2560x1440 240Hz 1мс 750cd/m 1000:1 2xHDMI DP USB C 2x5W Black","5","566,088","3 года","1","AG274QZM","Ссылка"
"Диагональ 31.5''-35''","","","","","","","",""
"28571      ","Q32V4","Высокопроизводительный Монитор 31,5"" AOC Q32V4 IPS QHD 2560X1440 75Hz 4мс 250кд/м 1000:1 HDMI DP Встроенные колонки 2x2W",">50","116,350","Сц 3 года","1","Q32V4","Ссылка"
"29695      ","Q32P2","Монитор с высоким разрешением и регулировкой высоты 31.5"" AOC Q32P2 IPS 2560X1440 75Hz 4ms 250cd/m 1000:1 50млн:1 Угол обзора 178/178 2xHDMI1.4 DP1.2 4xUSB 3.2 2x3W Черный","18","136,488","Сц 3 года","1","Q32P2","Ссылка"
"31834      ","Q32V5CE/BK","Монитор 31.5"" AOC Q32V5CE/BK VA 2560X1440 75Hz 4ms 300cd/m 3000:1 HDMI DP USB-C 3.2 2x5W Черный","15","170,050","Сц 3 года","1","Q32V5CE","Ссылка"
"26500      ","CU34G2/BK/01","Монитор Игровой 34"" AOC CU34G2/BK/01 VA 3440x1440@100Hz 300cd/m2 Curved 3000:1 1мс 2xHDMI DP Black","1","194,215","Сц 3 года","1","CU34G2","Ссылка"
"26512      ","CU34G2X/BK/01","Монитор Игровой 34"" AOC CU34G2X/BK/01 VA 3440x1440@144Hz 300cd/m2 Curved 3000:1 1мс 2xHDMI 2xDP Black","6","203,165","Сц 3 года","1","CU34G2X","Ссылка"
"29694      ","CU34G3S/BK","Изогнутый профессиональный игровой монитор 34"" AOC CU34G3S/BK VA 3440x1440 165Hz 1ms 300cd/m2 Curved 1000R 3000:1 2xHDMI 2xDP 4xUSB 3.2 2x5W Black","14","231,805","Сц 3 года","1","CU34G3S","Ссылка"
"Диагональ 49''","","","","","","","",""
"29844      ","AG493UCX2","Профессиональный изогнутый игровой монитор 49"" AOC AG493UCX2, VA, 5120x1440 165Hz, 1мс, 550кд/м2, 3000:1, 80млн:1, DP1.4, 3xHDMI2.0, 3xUSB3.2, Угол Обзора 178/178, Колонки 2x5W, Радиус Кривизны 1800R","3","595,175","Сц 3 года","1","AG493UCX2","Ссылка"
"Мониторы ASRock","","","","","","","",""
"31799      ","PG27FF1A","Геймерский Профессиональный Монитор из серии PHANTOM GAIMING 27"" ASRock PG27FF1A IPS 1920x1080 165Hz 1мс 250cd/m2 1100:1 2xHDMI DP Black","1","98,450","1 год","1","PG27FF1A(M1)","Ссылка"
"31798      ","PG34WQ15R2B","Геймерский Профессиональный Монитор из серии PHANTOM GAIMING 34"" ASRock PG34WQ15R2B VA 3440x1440@165Hz 1мс 300cd/m2 3000:1 Curved 1500R, HDR 400, 2xHDMI DP Встроенные колонки 2Wx2, Регулировка высоты, Встроенная антенна Wi-Fi, Black","2","214,800","1 год","1","PG34WQ15R2B(M1)","Ссылка"
"Мониторы Samsung","","","","","","","",""
"30107      ","LF24T450FQIXCI","Бизнес монитор 23,8"" SAMSUNG T45F LF24T450FQIXCI IPS 1920x1080 75GHz 5мс 250кд/м2 1000:1 2xHDMI 1xDP 2xUSB2.0 LF24T450FQIXCI. Регулировка Высоты 130мм. Поворот 45˚. Кабель HDMI - в комплекте.",">50","78,850","Сц 2 года","1","LF24T450FQIXCI","Ссылка"
"29465      ","LC24F390FHIXCI","Изогнутый Монитор с Тонким Дизайном 24"" SAMSUNG C24F390FHIX VA 1920x1080 1800R 4мс 250 кд/м2 3000:1 178/178 D-Sub HDMI LC24F390FHIXCI",">50","56,680","Сц 2 года","1","LS24A310NHIXCI","Ссылка"
"30953      ","LS24AG302NIXCI","Игровой монитор Odyssey G3 24"" SAMSUNG LS24AG302NIXCI VA 19200x1080 144GHz 1мс 250 кд/м2 3000, 1xHDMI, 1xDP,  178°(Г)/178°(В),  Регулируемая по высоте подставка 120мм, Поворот Экрана, Черный с Подсветкой","33","87,486","Сц 2 года","1","LS27AG302NIXCI","Ссылка"
"30258      ","LS27A700NWIXCI","Монитор 27"" SAMSUNG LS27A700NWIXCI IPS 3840x2160 60GHz 5мс 300 кд/м2 1000:1 HDR10 1xHDMI 1xDP 1xUSB","3","151,255","Сц 2 года","1","LS32A600NWIXCI","Ссылка"
"30259      ","LS27A800NMIXCI","Монитор 27"" SAMSUNG LS27A800NMIXCI IPS 3840x2160 60GHz 5мс 300 кд/м2 1000:1 HDR10 1xHDMI 1xDP 4xUSB",">50","168,036","Сц 2 года","1","LS27A800NMIXCI","Ссылка"
"30409      ","LS27AG302NIXCI","Игровой монитор Odyssey G3 27"" SAMSUNG LS27AG302NIXCI VA 19200x1080 144GHz 1мс 250 кд/м2 3000, 1xHDMI, 1xDP,  178°(Г)/178°(В),  Регулируемая по высоте подставка 120мм, Поворот Экрана, Черный с Подсветкой",">50","105,700","Сц 2 года","1","LS27AG302NIXCI","Ссылка"
"31195      ","LS27AG502NIXCI","Игровой монитор Odyssey G5 27"" SAMSUNG LS27AG502NIXCI IPS 2560x1440 165GHz 1мс 350кд/м2 1000:1 1xHDMI 1xDP 178°(Г)/178°(В),  Регулируемая по высоте подставка 120мм, Поворот Экрана, Черный с Подсветкой","20","207,416","Сц 2 года","1","LS27AG502NIXCI","Ссылка"
"30257      ","LS32A600NWIXCI","Монитор высокого разрешения S6 32"" SAMSUNG LS32A600NWIXCI VA 2560x1440 75GHz 5мс 300 кд/м2 1 3000:1 HDR10 1xHDMI 1xDP 4xUSB","12","154,119","Сц 2 года","1","LS32A600NWIXCI","Ссылка"
"30644      ","LS32AG552EIXCI","Игровой монитор Odyssey G5 32"" SAMSUNG LS32AG552EIXCI VA 2560x1440 165GHz 1мс 300 кд/м2 1 HDR10 1xHDMI 1xDP Черный","20","163,472","Сц 2 года","1","LS32AG552EIXCI","Ссылка"
"31533      ","LS32BM801UIXCI","Изогнутый SMART Монитор 32"" SAMSUNG LS32BM801UIXCI UHD SMART-монитор M8, VA, 3840x2160 60Hz 4мс 178/178 400кд/м2 3000:1 1xHDMI 1xUSB-C 1xUSB концентратор, встроенные колонки, регулировка высоты, белый","4","253,679","Сц 2 года","1","LS32BM801UIXCI","Ссылка"
"Мониторы LG","","","","","","","",""
"Диагональ 23,5-24""","","","","","","","",""
"29875      ","24MK4324H-B ","Монитор 23.8"" LG 24MK430H-B IPS 1920x1080 5 мс 250 кд/м2 1000M:1 D-Sub HDMI 178°-178° VESA Черный","1","68,020","Сц 2 года","1","24MK430H-B","Ссылка"
"Мониторы MSI","","","","","","","",""
"30218      ","Modern MD241P","Профессиональный Бизнес-Монитор 23,8"" MSI Modern MD241P IPS 1920х1080 16:9 75Hz 5ms 250cd/m 1000:1 16.7млн:1 1xHDMI  1x Type C, Угол Обзора 178/178,  2x1W, Поворот Экрана (PIVOT) 90%, Регулировка по высоте 110мм, Цвет: Черный.",">50","78,313","1 год","1","Modern MD241P","Ссылка"
"31866      ","PRO MP243W","Профессиональный Бизнес-Монитор с Безрамочным Дизайном 23,8"" MSI PRO MP243W IPS 1920х1080 16:9 75Hz 5ms 300cd/m 1000:1 16,7млн:1 1xDP 2xHDMI  Угол Обзора 178/178,  2x2W, Цвет: Белый.","42","77,418","1 год","1","PRO MP243W","Ссылка"
"30215      ","Modern MD271CP","Изогнутый Профессиональный Бизнес-Монитор 27"" MSI Modern MD271CP VA 1920х1080 16:9 75Hz 1500R 4ms 250cd/m 3000:1 16.7млн:1 1xHDMI  1x Type C, Угол Обзора 178/178,  Колонки 2x1W, Регулировка по высоте 110мм,  Цвет: Черно-Белый.",">50","98,450","1 год","1","Modern MD271CP","Ссылка"
"31867      ","Modern MD272QPW","Монитор с Безрамочным Дизайном 27"" MSI Modern MD272QPW IPS 2560х1440 16:9 75Hz 4ms 300cd/m 1000:1 16.7млн:1 DP HDMI Type C Угол обзора 178/178,  2x2W, Поворот Экрана (PIVOT) 90%, Регулировка Высоты 110мм, Цвет: Белый.","3","156,625","1 год","1","Modern MD272QPW10","Ссылка"
"Мониторы HIKVISION","","","","","","","",""
"31276      ","DS-D5024FN(M)","Монитор 23,8"" Hikvision DS-D5024FN(M) TFT-LED FHD 1920x1080 60Hz 1000:1 14мс 250cd/m² 1xD-Sub 1xHDMI","5","55,938","1 год","1","DS-D5024FN(M)","Ссылка"
"Процессоры","","","","","","","",""
"AMD","","","","","","","",""
"Socket AM4","","","","","","","",""
"23462      ","YD3200C5FHBOX","Процессор AMD Ryzen 3 3200G 3,6ГГц (4,0ГГц Turbo) AM4, 6Mb, Wraith Stealth cooler BOX","16","39,828","1 год","12","","Ссылка"
"31659      ","100-00000510MPK","Процессор AMD Ryzen 3 4100 3,8ГГц (4,0ГГц Turbo), AM4, 4/8, L3 4Mb, 65W MultiPack with cooler",">50","31,325","1 год","12","","Ссылка"
